Time (s),X (m),Y (m),X Velocity (m/s),Y Velocity (m/s)
7.166666667,-0.01049703888,1.270713751,0.04283192296,-1.55129264
7.2,-0.007651111448,1.222804922,0.00219880072,-1.707759061
7.233333333,-0.009681873738,1.160623553,-0.02856653293,-1.886964299
7.266666667,-0.01285672746,1.101388219,0.02452646006,-2.177456264
7.3,-0.007336486304,1.016582441,0.05806264015,-2.532172278
7.333333333,-0.007922833163,0.9297029983,0.05983836539,-2.825405296
7.366666667,-0.001358608575,0.8334420055,0.001489702385,-3.255369157
7.4,-0.007350787447,0.7109098132,-0.07242337113,-3.640689617
7.433333333,-0.008194554878,0.5898363375,-0.09142005594,-4.012018792
7.466666667,-0.01364329032,0.4443222085,-0.09685449024,-4.316204101
7.5,-0.01555964347,0.296348283,-0.06768015874,-4.149071411
7.533333333,-0.01839126976,0.1258500575,-0.04102044486,-2.621995373
7.566666667,-0.01817675262,0.05056884127,-0.02526535244,0.7837741362
7.6,-0.01588856975,0.216075968,-0.1112509741,3.142163693
7.633333333,-0.02712926807,0.3401955871,-0.1526051123,3.236992188
7.666666667,-0.03177713951,0.4412760651,-0.04794458155,2.739133651
7.7,-0.02833056407,0.514025979,0.01432497813,2.289374625
7.733333333,-0.02805884236,0.5930683958,0.005791962872,1.901110513
7.766666667,-0.02838776864,0.6420784125,-0.006209079539,1.48927335
7.8,-0.02838776864,0.6915460657,-0.02216677148,1.096301779
7.833333333,-0.02983218407,0.7182462995,-0.03145059675,0.6353878611
7.866666667,-0.03176283837,0.7294440944,-0.009915459072,0.2891095212
7.9,-0.03081896293,0.7349500344,0.006888383827,-0.003587203342
7.933333333,-0.02813034807,0.7358367053,-0.05851550967,-0.4551934607
7.966666667,-0.03217757151,0.7058043052,-0.1805638466,-0.9239730071
8,-0.0457779584,0.6670339068,-0.1532844166,-1.193311198
8.033333333,-0.0457779584,0.6215562724,-0.03476369485,-1.330280394
8.066666667,-0.04473397497,0.580082958,0.004326095725,-1.51745852
8.1,-0.04254590011,0.5284701333,-0.04283192296,-1.90127736
8.133333333,-0.04813764698,0.4540612868,-0.09101485689,-2.318084169
8.166666667,-0.04899571555,0.3615471935,-0.1318207846,-2.456757585
8.2,-0.05688994643,0.2997233527,-0.1682648638,-2.667389584
8.233333333,-0.06047953329,0.1832405439,-0.1929105,-2.610792811
8.266666667,-0.07034732189,0.05670403157,-0.197010161,-0.7014114708
8.3,-0.07448035219,0.1244342443,-0.1720546666,1.53973255
8.333333333,-0.08205995792,0.2196226514,-0.1322498189,2.184571083
8.366666667,-0.08389050421,0.2894122287,-0.07185132542,2.078980978
8.4,-0.08770890936,0.3626197792,0.003575285723,1.653569647
8.433333333,-0.08240318535,0.4021767404,0.03789802867,1.145974415
8.466666667,-0.08195984992,0.4312795662,-0.02595657435,0.8343048411
8.5,-0.08387620307,0.4588664709,-0.1017407141,0.5008141065
8.533333333,-0.08836676194,0.46849114,-0.1789907209,0.06648839683
8.566666667,-0.09980767625,0.4627563817,-0.1425466418,-0.3640832628
8.6,-0.09992208539,0.4469536188,-0.05042344632,-0.8566027064
8.633333333,-0.09992208539,0.399931461,-0.03674201962,-1.188591821
8.666666667,-0.100880262,0.3650223712,-0.06489143588,-1.413703728
8.7,-0.1058141563,0.3067738162,-0.06806152255,-1.645727854
8.733333333,-0.1058141563,0.24750988,-0.06154258492,-1.669205563
8.766666667,-0.1069725488,0.2030619279,-0.1232520165,-1.743356989
8.8,-0.1160394734,0.120301214,-0.1338229446,-1.367558707
8.833333333,-0.1178700197,0.06445525102,-0.08801161689,0.2448951544
8.866666667,-0.1205872369,0.1448276741,-0.07380581495,1.629186198
8.9,-0.12400521,0.2212100783,-0.03240400627,1.69039509
8.933333333,-0.119400242,0.2662014738,-0.07269747637,1.342579377
8.966666667,-0.1302405083,0.3095911413,-0.08305388735,0.8733827141
9,-0.1284957689,0.3210034534,-0.0095579305,0.4935681941
9.033333333,-0.1252637106,0.351593598,-0.07194666637,-0.09080033975
9.066666667,-0.1346166581,0.3085185556,-0.1027179588,-0.5236244294
9.1,-0.1346166581,0.3085185556,-0.075712634,-0.7408945428
9.133333333,-0.1375197901,0.272822903,-0.09397042643,-1.256760602
9.166666667,-0.1422534684,0.2134588588,-0.07649919686,-1.458609317
9.2,-0.1422534684,0.1675950936,-0.07487840066,-1.342388695
9.233333333,-0.1463864987,0.1217885329,-0.09177758451,-1.021947754
9.266666667,-0.1485030678,0.06542772873,-0.1020029017,0.1825064186
9.3,-0.154323633,0.1448705775,-0.08113515068,1.084801277
9.333333333,-0.1551960027,0.1717567261,-0.02513425863,1.043673573
9.366666667,-0.1543951387,0.2122432617,-0.009462589547,0.906299178
9.4,-0.1553533152,0.2410314623,-0.008437674307,0.4355293892
9.433333333,-0.1553533152,0.2410314623,0.002371606196,-0.001501620004
9.466666667,-0.1553533152,0.2410314623,0.01040408145,-0.4233257472
9.5,-0.1553533152,0.2005878302,0.02929350769,-0.5109560003
9.533333333,-0.1494755455,0.2049210765,-0.05255670013,-0.5384261123
9.566666667,-0.1595435501,0.1765762113,-0.1156604931,-0.8022464458
9.6,-0.160530329,0.1462434872,-0.08381661497,-0.8512278602
9.633333333,-0.1651782004,0.0953886231,-0.04706267774,-0.2423686192
9.666666667,-0.1651782004,0.1220316523,0.02509850578,0.5941767343
9.7,-0.1581134358,0.1584709644,-0.03899444962,0.7792216058
9.733333333,-0.1684102587,0.1863009885,-0.08603329212,0.5528821842
9.766666667,-0.1693684353,0.2016747171,-0.0007031395256,0.05712114824
9.8,-0.1656644393,0.1840271067,0.02029570529,-0.2822568902
9.833333333,-0.1656644393,0.1840271067,-0.01463483623,-0.6233391482
9.866666667,-0.1680813324,0.1343735386,-0.02238128863,-0.6934981717
9.9,-0.1680813324,0.1343735386,-0.002085583339,-0.5827477376
9.933333333,-0.1680813324,0.08707965907,0.01972365957,-0.1887870038
9.966666667,-0.1672232638,0.1072013671,0.04355889773,0.5499266147
10,-0.1634906656,0.1408519564,0.01860340338,0.788004891
10.03333333,-0.1634906656,0.1825969925,-0.06709619541,0.3796476733
10.06666667,-0.1708986576,0.1656644393,-0.07714274829,-0.1166019851
10.1,-0.1708986576,0.1656644393,-0.02469330673,-0.3929834891
10.13333333,-0.1708986576,0.1439553044,-0.0009414919071,-0.6581266783
10.16666667,-0.1708986576,0.1103619197,0.0209273391,-0.5388908994
10.2,-0.1708986576,0.08135920192,0.06801385207,0.2468138911
10.23333333,-0.1646204558,0.1434833666,0.06801385207,0.6070596806
10.26666667,-0.1646204558,0.1489034998,0.02010502338,0.2182354405
10.3,-0.1646204558,0.1489034998,0.00194257191,-0.04169974915
10.33333333,-0.1646204558,0.1489034998,-0.0123704886,-0.349937049
10.36666667,-0.1656072347,0.1208303563,-0.01791218147,-0.455527154
10.4,-0.1656072347,0.09927853396,-0.02888830864,-0.07717254234
10.43333333,-0.1676236958,0.1250920969,-0.04533462297,0.3688264752
